id,Title,Desc,Type,BodyPart,Equipment,Level
271,Push-Up,Push-Up exercise targeting strength and endurance,Endurance,Quads,Medicine Ball,Beginner
272,Turkish Get-Up (TRX),Turkish Get-Up exercise targeting strength and endurance,Strength,Traps,TRX,Intermediate
273,Seated Row (TRX),Seated Row exercise targeting strength and endurance,Power,Shoulders,TRX,Advanced
274,Chest Fly (Dumbbell),Chest Fly exercise targeting strength and endurance,Cardio,Hamstrings,Dumbbell,Advanced
275,Overhead Squat (Bodyweight),Overhead Squat exercise targeting strength and endurance,Cardio,Glutes,Bodyweight,Beginner
276,Glute Bridge (Kettlebell),Glute Bridge exercise targeting strength and endurance,Strength,Forearms,Kettlebell,Advanced
277,Leg Extension (TRX),Leg Extension exercise targeting strength and endurance,Endurance,Legs,TRX,Advanced
278,Lunge (Cable),Lunge exercise targeting strength and endurance,Power,Back,Cable,Intermediate
279,Bicep Curl (Dumbbell),Bicep Curl exercise targeting strength and endurance,Endurance,Quads,Dumbbell,Beginner
280,Push-Up (Cable),Push-Up exercise targeting strength and endurance,Balance,Calves,Cable,Beginner
281,Cable Row (Cable),Cable Row exercise targeting strength and endurance,Power,Calves,Cable,Advanced
282,Jump Squat (Kettlebell),Jump Squat exercise targeting strength and endurance,Endurance,Glutes,Kettlebell,Beginner
283,Superman,Superman exercise targeting strength and endurance,Endurance,Forearms,Bodyweight,Intermediate
284,Donkey Kick (TRX),Donkey Kick exercise targeting strength and endurance,Flexibility,Back,TRX,Beginner
285,Burpee (Band),Burpee exercise targeting strength and endurance,Flexibility,Back,Band,Advanced
286,Bird Dog (TRX),Bird Dog exercise targeting strength and endurance,Strength,Quads,TRX,Advanced
287,Leg Extension (Cable),Leg Extension exercise targeting strength and endurance,Mobility,Back,Cable,Advanced
288,Tricep Dip (TRX),Tricep Dip exercise targeting strength and endurance,Flexibility,Legs,TRX,Intermediate
289,Incline Row,Incline Row exercise targeting strength and endurance,Strength,Full Body,Bodyweight,Advanced
290,Incline Row (Cable),Incline Row exercise targeting strength and endurance,Balance,Shoulders,Cable,Intermediate
291,Wrist Curl (Bodyweight),Wrist Curl exercise targeting strength and endurance,Endurance,Hamstrings,Bodyweight,Advanced
292,Deadlift (Bodyweight),Deadlift exercise targeting strength and endurance,Strength,Back,Bodyweight,Beginner
293,Plank (Bodyweight),Plank exercise targeting strength and endurance,Power,Glutes,Bodyweight,Intermediate
294,Side Plank (Bodyweight),Side Plank exercise targeting strength and endurance,Flexibility,Hamstrings,Bodyweight,Intermediate
295,Landmine Press (Band),Landmine Press exercise targeting strength and endurance,Endurance,Shoulders,Band,Intermediate
296,Pistol Squat (Bodyweight),Pistol Squat exercise targeting strength and endurance,Strength,Arms,Bodyweight,Advanced
297,Hammer Curl (Band),Hammer Curl exercise targeting strength and endurance,Strength,Back,Band,Beginner
298,Plank Shoulder Tap (Band),Plank Shoulder Tap exercise targeting strength and endurance,Cardio,Hamstrings,Band,Beginner
299,Turkish Get-Up (Kettlebell),Turkish Get-Up exercise targeting strength and endurance,Balance,Chest,Kettlebell,Intermediate
300,Leg Press (Kettlebell),Leg Press exercise targeting strength and endurance,Balance,Traps,Kettlebell,Intermediate
301,Deadlift (Kettlebell),Deadlift exercise targeting strength and endurance,Mobility,Arms,Kettlebell,Beginner
302,Hip Thrust (Dumbbell),Hip Thrust exercise targeting strength and endurance,Balance,Back,Dumbbell,Intermediate
303,Turkish Get-Up (Cable),Turkish Get-Up exercise targeting strength and endurance,Strength,Forearms,Cable,Advanced
304,Reverse Lunge (TRX),Reverse Lunge exercise targeting strength and endurance,Cardio,Chest,TRX,Advanced
305,Shoulder Press (Band),Shoulder Press exercise targeting strength and endurance,Mobility,Hamstrings,Band,Intermediate
306,Deadlift (Dumbbell),Deadlift exercise targeting strength and endurance,Strength,Quads,Dumbbell,Beginner
307,Seated Row (Kettlebell),Seated Row exercise targeting strength and endurance,Balance,Calves,Kettlebell,Beginner
308,Jump Rope (Dumbbell),Jump Rope exercise targeting strength and endurance,Endurance,Full Body,Dumbbell,Beginner
309,Hip Thrust,Hip Thrust exercise targeting strength and endurance,Flexibility,Chest,Medicine Ball,Advanced
310,Donkey Kick (Kettlebell),Donkey Kick exercise targeting strength and endurance,Mobility,Chest,Kettlebell,Intermediate
311,Push-Up (Bodyweight),Push-Up exercise targeting strength and endurance,Cardio,Shoulders,Bodyweight,Intermediate
312,Mountain Climber (Band),Mountain Climber exercise targeting strength and endurance,Flexibility,Back,Band,Intermediate
313,Glute Bridge (Bodyweight),Glute Bridge exercise targeting strength and endurance,Cardio,Forearms,Bodyweight,Intermediate
314,Bench Press (Dumbbell),Bench Press exercise targeting strength and endurance,Power,Full Body,Dumbbell,Advanced
315,Leg Press (TRX),Leg Press exercise targeting strength and endurance,Mobility,Forearms,TRX,Advanced
316,Side Plank (Dumbbell),Side Plank exercise targeting strength and endurance,Flexibility,Hamstrings,Dumbbell,Beginner
317,Leg Press,Leg Press exercise targeting strength and endurance,Mobility,Hamstrings,Machine,Intermediate
318,Landmine Press (Machine),Landmine Press exercise targeting strength and endurance,Flexibility,Quads,Machine,Advanced
319,Leg Curl (Kettlebell),Leg Curl exercise targeting strength and endurance,Strength,Shoulders,Kettlebell,Beginner
320,Wrist Curl (Kettlebell),Wrist Curl exercise targeting strength and endurance,Balance,Full Body,Kettlebell,Advanced
321,Cable Row (Machine),Cable Row exercise targeting strength and endurance,Strength,Forearms,Machine,Intermediate
322,Chest Fly (Kettlebell),Chest Fly exercise targeting strength and endurance,Flexibility,Hamstrings,Kettlebell,Beginner
323,Squat (Machine),Squat exercise targeting strength and endurance,Flexibility,Shoulders,Machine,Beginner
324,Landmine Press (TRX),Landmine Press exercise targeting strength and endurance,Flexibility,Calves,TRX,Intermediate
325,Step-Up (Cable),Step-Up exercise targeting strength and endurance,Mobility,Shoulders,Cable,Intermediate
326,Side Plank (TRX),Side Plank exercise targeting strength and endurance,Mobility,Legs,TRX,Advanced
327,Shoulder Press (Kettlebell),Shoulder Press exercise targeting strength and endurance,Strength,Back,Kettlebell,Beginner
328,Box Jump (Dumbbell),Box Jump exercise targeting strength and endurance,Balance,Full Body,Dumbbell,Beginner
329,Sit-Up (Dumbbell),Sit-Up exercise targeting strength and endurance,Mobility,Arms,Dumbbell,Beginner
330,Wall Ball (Cable),Wall Ball exercise targeting strength and endurance,Flexibility,Traps,Cable,Advanced
331,Leg Curl (Dumbbell),Leg Curl exercise targeting strength and endurance,Balance,Hamstrings,Dumbbell,Beginner
332,Hammer Curl (Dumbbell),Hammer Curl exercise targeting strength and endurance,Strength,Core,Dumbbell,Beginner
333,Bicep Curl (TRX),Bicep Curl exercise targeting strength and endurance,Cardio,Core,TRX,Advanced
334,Plank Shoulder Tap (Dumbbell),Plank Shoulder Tap exercise targeting strength and endurance,Flexibility,Back,Dumbbell,Advanced
335,Chest Fly (Bodyweight),Chest Fly exercise targeting strength and endurance,Flexibility,Shoulders,Bodyweight,Beginner
336,Overhead Press (Band),Overhead Press exercise targeting strength and endurance,Cardio,Traps,Band,Advanced
337,Cable Row (TRX),Cable Row exercise targeting strength and endurance,Strength,Traps,TRX,Advanced
338,Pistol Squat (Band),Pistol Squat exercise targeting strength and endurance,Flexibility,Forearms,Band,Advanced
339,Crunch (Kettlebell),Crunch exercise targeting strength and endurance,Endurance,Full Body,Kettlebell,Intermediate
340,Bird Dog (Band),Bird Dog exercise targeting strength and endurance,Power,Glutes,Band,Advanced
341,Clean and Jerk (Bodyweight),Clean and Jerk exercise targeting strength and endurance,Endurance,Quads,Bodyweight,Intermediate
342,Jump Rope (Cable),Jump Rope exercise targeting strength and endurance,Cardio,Traps,Cable,Intermediate
343,Turkish Get-Up (Band),Turkish Get-Up exercise targeting strength and endurance,Balance,Forearms,Band,Advanced
344,Superman (TRX),Superman exercise targeting strength and endurance,Strength,Arms,TRX,Intermediate
345,Reverse Lunge (Cable),Reverse Lunge exercise targeting strength and endurance,Strength,Calves,Cable,Intermediate
346,Tricep Dip (Bodyweight),Tricep Dip exercise targeting strength and endurance,Power,Core,Bodyweight,Intermediate
347,Kettlebell Swing (Band),Kettlebell Swing exercise targeting strength and endurance,Flexibility,Back,Band,Advanced
348,Deadlift (TRX),Deadlift exercise targeting strength and endurance,Power,Glutes,TRX,Advanced
349,Bicep Curl (Kettlebell),Bicep Curl exercise targeting strength and endurance,Cardio,Calves,Kettlebell,Advanced
350,Plank,Plank exercise targeting strength and endurance,Power,Full Body,Barbell,Advanced
351,Leg Press (Band),Leg Press exercise targeting strength and endurance,Endurance,Hamstrings,Band,Intermediate
352,Squat (Bodyweight),Squat exercise targeting strength and endurance,Balance,Full Body,Bodyweight,Intermediate
353,Farmer's Carry (Band),Farmer's Carry exercise targeting strength and endurance,Endurance,Shoulders,Band,Beginner
354,Crunch (Machine),Crunch exercise targeting strength and endurance,Strength,Shoulders,Machine,Advanced
355,Donkey Kick,Donkey Kick exercise targeting strength and endurance,Flexibility,Quads,Kettlebell,Beginner
356,Seated Row (Dumbbell),Seated Row exercise targeting strength and endurance,Cardio,Shoulders,Dumbbell,Advanced
357,Overhead Press (Dumbbell),Overhead Press exercise targeting strength and endurance,Strength,Core,Dumbbell,Beginner
358,Box Squat (Cable),Box Squat exercise targeting strength and endurance,Endurance,Forearms,Cable,Intermediate
359,Russian Twist (Band),Russian Twist exercise targeting strength and endurance,Balance,Traps,Band,Beginner
360,Shrugs (Dumbbell),Shrugs exercise targeting strength and endurance,Balance,Traps,Dumbbell,Intermediate
361,Overhead Press (Kettlebell),Overhead Press exercise targeting strength and endurance,Cardio,Calves,Kettlebell,Intermediate
362,Side Plank (Kettlebell),Side Plank exercise targeting strength and endurance,Flexibility,Legs,Kettlebell,Intermediate
363,Russian Twist (Machine),Russian Twist exercise targeting strength and endurance,Endurance,Legs,Machine,Intermediate
364,Donkey Kick (Dumbbell),Donkey Kick exercise targeting strength and endurance,Mobility,Core,Dumbbell,Intermediate
365,Mountain Climber (Cable),Mountain Climber exercise targeting strength and endurance,Flexibility,Glutes,Cable,Intermediate
366,Jump Squat (Bodyweight),Jump Squat exercise targeting strength and endurance,Strength,Shoulders,Bodyweight,Advanced
367,Calf Raise (Bodyweight),Calf Raise exercise targeting strength and endurance,Balance,Quads,Bodyweight,Beginner
368,Crunch (Band),Crunch exercise targeting strength and endurance,Cardio,Traps,Band,Advanced
369,Squat (Band),Squat exercise targeting strength and endurance,Balance,Back,Band,Advanced
370,Leg Curl (Cable),Leg Curl exercise targeting strength and endurance,Balance,Full Body,Cable,Intermediate
371,Leg Extension (Machine),Leg Extension exercise targeting strength and endurance,Cardio,Forearms,Machine,Advanced
372,Leg Press (Cable),Leg Press exercise targeting strength and endurance,Power,Full Body,Cable,Advanced
373,Lunge (Kettlebell),Lunge exercise targeting strength and endurance,Cardio,Back,Kettlebell,Beginner
374,Reverse Lunge (Machine),Reverse Lunge exercise targeting strength and endurance,Power,Quads,Machine,Intermediate
375,Snatch,Snatch exercise targeting strength and endurance,Mobility,Glutes,Kettlebell,Advanced
376,Split Squat (Band),Split Squat exercise targeting strength and endurance,Endurance,Calves,Band,Intermediate
377,Lat Pulldown (Dumbbell),Lat Pulldown exercise targeting strength and endurance,Endurance,Chest,Dumbbell,Beginner
378,Front Squat (Band),Front Squat exercise targeting strength and endurance,Cardio,Chest,Band,Intermediate
379,T-Bar Row (Kettlebell),T-Bar Row exercise targeting strength and endurance,Flexibility,Legs,Kettlebell,Beginner
380,Lat Pulldown (Cable),Lat Pulldown exercise targeting strength and endurance,Power,Core,Cable,Intermediate
381,Lat Pulldown (Band),Lat Pulldown exercise targeting strength and endurance,Endurance,Arms,Band,Beginner
382,Lat Pulldown (Kettlebell),Lat Pulldown exercise targeting strength and endurance,Flexibility,Core,Kettlebell,Beginner
383,Mountain Climber (TRX),Mountain Climber exercise targeting strength and endurance,Flexibility,Shoulders,TRX,Advanced
384,High Knees (Kettlebell),High Knees exercise targeting strength and endurance,Mobility,Hamstrings,Kettlebell,Beginner
385,Good Morning (Dumbbell),Good Morning exercise targeting strength and endurance,Strength,Chest,Dumbbell,Advanced
386,Wall Sit (Machine),Wall Sit exercise targeting strength and endurance,Flexibility,Core,Machine,Beginner
387,Jump Squat,Jump Squat exercise targeting strength and endurance,Balance,Quads,Medicine Ball,Intermediate
388,High Knees,High Knees exercise targeting strength and endurance,Power,Shoulders,None,Advanced
389,Calf Raise (TRX),Calf Raise exercise targeting strength and endurance,Strength,Back,TRX,Beginner
390,Plank Shoulder Tap (Machine),Plank Shoulder Tap exercise targeting strength and endurance,Strength,Glutes,Machine,Beginner
391,Wall Ball (Dumbbell),Wall Ball exercise targeting strength and endurance,Strength,Arms,Dumbbell,Advanced
392,Leg Press (Bodyweight),Leg Press exercise targeting strength and endurance,Strength,Chest,Bodyweight,Advanced
393,T-Bar Row (Cable),T-Bar Row exercise targeting strength and endurance,Cardio,Quads,Cable,Advanced
394,Shrugs (Machine),Shrugs exercise targeting strength and endurance,Endurance,Calves,Machine,Beginner
395,Pull-Up (Kettlebell),Pull-Up exercise targeting strength and endurance,Cardio,Quads,Kettlebell,Intermediate
396,Split Squat (Machine),Split Squat exercise targeting strength and endurance,Cardio,Traps,Machine,Advanced
397,Jump Rope (TRX),Jump Rope exercise targeting strength and endurance,Balance,Glutes,TRX,Beginner
398,Wall Sit (Dumbbell),Wall Sit exercise targeting strength and endurance,Flexibility,Traps,Dumbbell,Advanced
399,Sit-Up (Band),Sit-Up exercise targeting strength and endurance,Flexibility,Glutes,Band,Beginner
400,High Knees (Dumbbell),High Knees exercise targeting strength and endurance,Strength,Traps,Dumbbell,Intermediate
